SEARCHVAL,BLK_NO,ROAD_NAME,BUILDING,ADDRESS,POSTAL,X,Y,LATITUDE,LONGITUDE
CITYLINK MALL,1,RAFFLES LINK,CITYLINK MALL,1 RAFFLES LINK CITYLINK MALL SINGAPORE 039393,039393,30320.972393252,30574.3218035102,1.2927777312893,103.854173501417
ELIAS MALL,625,ELIAS ROAD,ELIAS MALL,625 ELIAS ROAD ELIAS MALL SINGAPORE 510625,510625,40092.4603688922,40064.6402175538,1.37860239771677,103.941978174681
HILLION MALL,17,PETIR ROAD,HILLION MALL,17 PETIR ROAD HILLION MALL SINGAPORE 678278,678278,20156.924196275,40045.5291337073,1.37843100827586,103.762842789877
MACPHERSON MALL,401,MACPHERSON ROAD,MACPHERSON MALL,401 MACPHERSON ROAD MACPHERSON MALL SINGAPORE 368125,368125,33116.6434122045,34885.9847940803,1.3317705447992,103.879294500005
MARINA MALL,,MARINA MALL,NIL,MARINA MALL,NIL,31744.9358719862,29137.3835651878,1.27978241295298,103.866968273125
PIONEER MALL,638,JURONG WEST STREET 61,PIONEER MALL,638 JURONG WEST STREET 61 PIONEER MALL SINGAPORE 640638,640638,12848.6614737436,35983.4657739643,1.34169239214292,103.697174842118
PLQ MALL,10,PAYA LEBAR ROAD,PLQ MALL,10 PAYA LEBAR ROAD PLQ MALL SINGAPORE 409057,409057,34623.78747709,33314.8152264543,1.31756115921,103.892836694432
TANGLIN MALL,163,TANGLIN ROAD,TANGLIN MALL,163 TANGLIN ROAD TANGLIN MALL SINGAPORE 247933,247933,26946.5451086154,31908.4783786591,1.30484344196915,103.823852794772
WISTERIA MALL,598,YISHUN RING ROAD,WISTERIA MALL,598 YISHUN RING ROAD WISTERIA MALL SINGAPORE 768698,768698,28884.7489383351,44415.5435907897,1.41795288501536,103.841268831617
ZHONGSHAN MALL,20,AH HOOD ROAD,ZHONGSHAN MALL,20 AH HOOD ROAD ZHONGSHAN MALL SINGAPORE 329984,329984,29473.0098957308,34352.36196642,1.32694504456951,103.846554377679
BEDOK MALL,311,NEW UPPER CHANGI ROAD,BEDOK MALL,311 NEW UPPER CHANGI ROAD BEDOK MALL SINGAPORE 467360,467360,38676.9034392368,34108.3360637221,1.32473632784728,103.929256259998
EASTLINK MALL,8,TAMPINES CENTRAL 1,EASTLINK MALL,8 TAMPINES CENTRAL 1 EASTLINK MALL SINGAPORE 529543,529543,40351.5695948433,37383.7361611221,1.35435719591377,103.944305344915
EASTPOINT MALL,3,SIMEI STREET 6,EASTPOINT MALL,3 SIMEI STREET 6 EASTPOINT MALL SINGAPORE 528833,528833,41321.990633836,36095.4413322229,1.34270592355576,103.953024618234
ESPLANADE MALL,8,RAFFLES AVENUE,ESPLANADE MALL,8 RAFFLES AVENUE ESPLANADE MALL SINGAPORE 039802,039802,30553.9917371552,30228.2371328641,1.28964784521264,103.856267250977
HOUGANG MALL,90,HOUGANG AVENUE 10,HOUGANG MALL,90 HOUGANG AVENUE 10 HOUGANG MALL SINGAPORE 538766,538766,34728.1240016175,39389.1175711397,1.37249493810003,103.893775562605
RIVERVALE MALL,11,RIVERVALE CRESCENT,RIVERVALE MALL,11 RIVERVALE CRESCENT RIVERVALE MALL SINGAPORE 545082,545082,35918.3976602554,41567.7920261901,1.39219777838449,103.904471600025
ROCHESTER MALL,35,ROCHESTER DRIVE,ROCHESTER MALL,35 ROCHESTER DRIVE ROCHESTER MALL SINGAPORE 138639,138639,23006.1702728383,31970.9088191949,1.30540765569962,103.788446680148
TAMPINES MALL,4,TAMPINES CENTRAL 5,TAMPINES MALL,4 TAMPINES CENTRAL 5 TAMPINES MALL SINGAPORE 529510,529510,40395.3605872542,37181.4052837677,1.35252737278519,103.944698751072
WEST MALL,1,BUKIT BATOK CENTRAL LINK,WEST MALL,1 BUKIT BATOK CENTRAL LINK WEST MALL SINGAPORE 658713,658713,18643.5269172937,36903.9429145474,1.35001920979845,103.749244800677
DAIRY FARM MALL,4,DAIRY FARM LANE,DAIRY FARM MALL,4 DAIRY FARM LANE DAIRY FARM MALL SINGAPORE 677622,677622,21515.2982457317,38623.4734863397,1.3655707838852,103.77504908361
GRANTRAL MALL @ CLEMENTI,3151,COMMONWEALTH AVENUE WEST,GRANTRAL MALL @ CLEMENTI,3151 COMMONWEALTH AVENUE WEST GRANTRAL MALL @ CLEMENTI SINGAPORE 129581,129581,20413.2100247061,32950.9688186739,1.31427043922294,103.765147487482
GRANTRAL MALL @ MACPHERSON,601,MACPHERSON ROAD,GRANTRAL MALL @ MACPHERSON,601 MACPHERSON ROAD GRANTRAL MALL @ MACPHERSON SINGAPORE 368242,368242,34033.2568143988,35101.7975156717,1.33372210930312,103.887530827719
KANG KAR MALL,100,HOUGANG AVENUE 10,KANG KAR MALL,100 HOUGANG AVENUE 10 KANG KAR MALL SINGAPORE 538767,538767,34779.2318856083,39305.0979463942,1.37173508334316,103.894234783936
KEBUN BARU MALL,226C,ANG MO KIO AVENUE 1,KEBUN BARU MALL,226C ANG MO KIO AVENUE 1 KEBUN BARU MALL SINGAPORE 563226,563226,28660.8703136388,38797.6185448468,1.3671463933326,103.839256956986
DJIT SUN MALL,5,ANG MO KIO CENTRAL 2,DJIT SUN MALL,5 ANG MO KIO CENTRAL 2 DJIT SUN MALL SINGAPORE 569663,569663,29594.3526987862,39429.645069547,1.37286217975215,103.847644977493
DJITSUN MALL BEDOK,445,BEDOK NORTH STREET 1,DJITSUN MALL BEDOK,445 BEDOK NORTH STREET 1 DJITSUN MALL BEDOK SINGAPORE 469661,469661,38710.0881669372,34261.3041274194,1.32611970329469,103.929554495615
SENGKANG GRAND MALL,11,SENGKANG CENTRAL,SENGKANG GRAND MALL,11 SENGKANG CENTRAL SENGKANG GRAND MALL SINGAPORE 544575,544575,34610.7360133147,40548.6806070674,1.38298163230717,103.892721008018
THE CLEMENTI MALL,3155,COMMONWEALTH AVENUE WEST,THE CLEMENTI MALL,3155 COMMONWEALTH AVENUE WEST THE CLEMENTI MALL SINGAPORE 129588,129588,20332.589403728,33020.1640930343,1.31489619639366,103.764423054189
THE FURNITURE MALL,10,TOH GUAN ROAD,THE FURNITURE MALL,10 TOH GUAN ROAD THE FURNITURE MALL SINGAPORE 608838,608838,18529.8018695768,34949.0354558695,1.3323397045547,103.748223521297
THE WOODLEIGH MALL,501,UPPER ALJUNIED ROAD,THE WOODLEIGH MALL,501 UPPER ALJUNIED ROAD THE WOODLEIGH MALL SINGAPORE 367897,367897,32268.1044003973,35655.5848135483,1.33873066415565,103.871670008464
UE SHOPPING MALL,83,CLEMENCEAU AVENUE,UE SHOPPING MALL,83 CLEMENCEAU AVENUE UE SHOPPING MALL SINGAPORE 239920,239920,29077.8254402056,30560.3399927206,1.29265135224218,103.843003298048
BENDEMEER SHOPPING MALL,25,BENDEMEER ROAD,BENDEMEER SHOPPING MALL,25 BENDEMEER ROAD BENDEMEER SHOPPING MALL SINGAPORE 330025,330025,31270.1865932047,33438.7611063775,1.31868262266763,103.862702893919
KALLANG WAVE MALL,1,STADIUM PLACE,KALLANG WAVE MALL,1 STADIUM PLACE KALLANG WAVE MALL SINGAPORE 397628,397628,32432.8422906362,31712.9829503335,1.30307515150401,103.873149707591
THE FLOW MALL,66,EAST COAST ROAD,THE FLOW MALL,66 EAST COAST ROAD THE FLOW MALL SINGAPORE 428778,428778,35888.8009598814,31878.7438076194,1.30457354662016,103.904203116447
UBI CAR MALL,18,UBI ROAD 4,UBI CAR MALL,18 UBI ROAD 4 UBI CAR MALL SINGAPORE 408616,408616,35374.4833851838,34935.7887333315,1.33222048896465,103.899582467306
CATHAY CINEPLEX WEST MALL,1,BUKIT BATOK CENTRAL LINK,CATHAY CINEPLEX WEST MALL,1 BUKIT BATOK CENTRAL LINK CATHAY CINEPLEX WEST MALL SINGAPORE 658713,658713,18640.083813074,36912.5610872842,1.35009714832628,103.74921385957
CITY SQUARE MALL,180,KITCHENER ROAD,CITY SQUARE MALL,180 KITCHENER ROAD CITY SQUARE MALL SINGAPORE 208539,208539,30593.6748798871,32635.8044067919,1.31142103107683,103.856624019991
CT HUB MALL,2,KALLANG AVENUE,CT HUB MALL,2 KALLANG AVENUE CT HUB MALL SINGAPORE 339407,339407,31290.6884909039,32703.7422280367,1.31203537015087,103.862887035837
FORUM THE SHOPPING MALL,583,ORCHARD ROAD,FORUM THE SHOPPING MALL,583 ORCHARD ROAD FORUM THE SHOPPING MALL SINGAPORE 238884,238884,27483.6082861088,32047.1465453263,1.30609752164563,103.828678556041
"LOT ONE, SHOPPERS' MALL",21,CHOA CHU KANG AVENUE 4,"LOT ONE, SHOPPERS' MALL","21 CHOA CHU KANG AVENUE 4 LOT ONE, SHOPPERS' MALL SINGAPORE 689812",689812,18172.5792770851,40769.1529334113,1.38497459672379,103.745011766388
THE RAIL MALL,390,UPPER BUKIT TIMAH ROAD,THE RAIL MALL,390 UPPER BUKIT TIMAH ROAD THE RAIL MALL SINGAPORE 678045,678045,20729.8811162803,37779.0305802338,1.35793376567949,103.767991780291
COMMONWEALTH CAR MALL,15,COMMONWEALTH LANE,COMMONWEALTH CAR MALL,15 COMMONWEALTH LANE COMMONWEALTH CAR MALL SINGAPORE 149554,149554,23965.1859420827,32035.7345166206,1.30599405627959,103.797063875409
